state,county,tract,NAME.x,TotalPop_12,TotalPopMOE_12,TR_Italian_12,TR_ItalianMOE_12,Census_Tract.x,County.x,State.x,TotalPop_17,TotalPopMOE_17,TR_Italian_17,TR_ItalianMOE_17
36,047,040000,"Census Tract 400, Kings County, New York",3233,431,877,227,Census Tract 400,Kings County,New York,3344,450,495,154
36,047,040100,"Census Tract 401, Kings County, New York",3327,527,21,26,Census Tract 401,Kings County,New York,3244,396,18,27
36,047,040200,"Census Tract 402, Kings County, New York",2457,299,654,201,Census Tract 402,Kings County,New York,2962,254,551,163
36,047,040300,"Census Tract 403, Kings County, New York",3377,531,0,12,Census Tract 403,Kings County,New York,4025,698,47,48
36,047,040400,"Census Tract 404, Kings County, New York",2272,329,591,206,Census Tract 404,Kings County,New York,2352,251,537,148
36,047,040500,"Census Tract 405, Kings County, New York",1516,282,0,12,Census Tract 405,Kings County,New York,1555,238,43,40
36,047,040600,"Census Tract 406, Kings County, New York",3237,343,787,204,Census Tract 406,Kings County,New York,3533,396,495,162
36,047,040700,"Census Tract 407, Kings County, New York",0,12,0,12,Census Tract 407,Kings County,New York,0,11,0,11
36,047,040800,"Census Tract 408, Kings County, New York",3321,380,918,255,Census Tract 408,Kings County,New York,3499,515,588,218
36,047,040900,"Census Tract 409, Kings County, New York",3691,469,66,59,Census Tract 409,Kings County,New York,3526,471,17,19
36,047,041000,"Census Tract 410, Kings County, New York",1821,158,575,162,Census Tract 410,Kings County,New York,1977,221,667,152
36,047,041100,"Census Tract 411, Kings County, New York",3166,432,31,50,Census Tract 411,Kings County,New York,3147,478,128,117
36,047,041200,"Census Tract 412, Kings County, New York",2984,382,803,301,Census Tract 412,Kings County,New York,3161,442,420,210
36,047,041300,"Census Tract 413, Kings County, New York",3818,540,25,31,Census Tract 413,Kings County,New York,4062,500,0,11
36,047,041401,"Census Tract 414.01, Kings County, New York",1174,244,100,84,Census Tract 414.01,Kings County,New York,1653,272,73,38
36,047,041402,"Census Tract 414.02, Kings County, New York",1672,337,6,10,Census Tract 414.02,Kings County,New York,1783,213,0,11
36,047,041500,"Census Tract 415, Kings County, New York",3962,458,23,37,Census Tract 415,Kings County,New York,4409,525,23,36
36,047,041600,"Census Tract 416, Kings County, New York",2800,354,86,67,Census Tract 416,Kings County,New York,2357,287,198,182
36,047,041700,"Census Tract 417, Kings County, New York",3565,505,0,12,Census Tract 417,Kings County,New York,3215,357,53,75
36,047,041800,"Census Tract 418, Kings County, New York",1799,305,17,25,Census Tract 418,Kings County,New York,2598,388,0,11
36,047,041900,"Census Tract 419, Kings County, New York",3819,387,28,29,Census Tract 419,Kings County,New York,3871,560,47,49
36,047,042000,"Census Tract 420, Kings County, New York",1921,343,25,27,Census Tract 420,Kings County,New York,1831,256,31,31
36,047,042100,"Census Tract 421, Kings County, New York",3595,513,96,66,Census Tract 421,Kings County,New York,4321,547,83,47
36,047,042200,"Census Tract 422, Kings County, New York",3108,404,170,121,Census Tract 422,Kings County,New York,3523,472,166,164
36,047,042300,"Census Tract 423, Kings County, New York",4057,577,42,53,Census Tract 423,Kings County,New York,4384,512,142,86
36,047,042400,"Census Tract 424, Kings County, New York",3072,310,696,191,Census Tract 424,Kings County,New York,3752,472,678,309
36,047,042500,"Census Tract 425, Kings County, New York",2392,281,88,56,Census Tract 425,Kings County,New York,3103,300,177,86
36,047,042600,"Census Tract 426, Kings County, New York",4149,460,329,145,Census Tract 426,Kings County,New York,4373,436,466,195
36,047,042700,"Census Tract 427, Kings County, New York",5793,554,46,38,Census Tract 427,Kings County,New York,5303,475,315,106
36,047,042800,"Census Tract 428, Kings County, New York",3905,346,335,147,Census Tract 428,Kings County,New York,3692,340,332,140
36,047,042900,"Census Tract 429, Kings County, New York",6349,596,76,52,Census Tract 429,Kings County,New York,5327,520,135,56
36,047,043000,"Census Tract 430, Kings County, New York",3033,395,229,159,Census Tract 430,Kings County,New York,3602,451,225,133
36,047,043100,"Census Tract 431, Kings County, New York",5380,542,97,71,Census Tract 431,Kings County,New York,5369,512,142,63
36,047,043200,"Census Tract 432, Kings County, New York",4679,454,426,221,Census Tract 432,Kings County,New York,4522,429,262,102
36,047,043300,"Census Tract 433, Kings County, New York",4410,517,57,80,Census Tract 433,Kings County,New York,4284,487,26,24
36,047,043400,"Census Tract 434, Kings County, New York",3659,366,309,193,Census Tract 434,Kings County,New York,3480,443,427,283
36,047,043500,"Census Tract 435, Kings County, New York",5137,608,103,123,Census Tract 435,Kings County,New York,5202,497,17,18
36,047,043600,"Census Tract 436, Kings County, New York",4621,450,596,197,Census Tract 436,Kings County,New York,4532,608,349,170
36,047,043700,"Census Tract 437, Kings County, New York",5330,389,30,35,Census Tract 437,Kings County,New York,6449,578,251,195
36,047,043800,"Census Tract 438, Kings County, New York",2711,346,159,83,Census Tract 438,Kings County,New York,2556,244,59,48
36,047,043900,"Census Tract 439, Kings County, New York",3860,470,64,49,Census Tract 439,Kings County,New York,4146,599,0,11
36,047,044000,"Census Tract 440, Kings County, New York",2612,462,128,86,Census Tract 440,Kings County,New York,2939,358,102,68
36,047,044100,"Census Tract 441, Kings County, New York",6669,703,62,40,Census Tract 441,Kings County,New York,5261,581,41,33
36,047,044200,"Census Tract 442, Kings County, New York",2463,314,239,154,Census Tract 442,Kings County,New York,2991,399,47,34
36,047,044300,"Census Tract 443, Kings County, New York",6300,691,210,128,Census Tract 443,Kings County,New York,4896,495,255,114
36,047,044400,"Census Tract 444, Kings County, New York",3288,408,280,163,Census Tract 444,Kings County,New York,3514,431,111,62
36,047,044500,"Census Tract 445, Kings County, New York",4690,519,117,73,Census Tract 445,Kings County,New York,5066,608,106,70
36,047,044600,"Census Tract 446, Kings County, New York",1779,168,298,105,Census Tract 446,Kings County,New York,2190,320,413,113
36,047,044700,"Census Tract 447, Kings County, New York",2313,406,52,45,Census Tract 447,Kings County,New York,2496,345,90,46
36,047,044800,"Census Tract 448, Kings County, New York",1674,220,129,87,Census Tract 448,Kings County,New York,1801,278,68,39
36,047,044900,"Census Tract 449, Kings County, New York",3094,387,220,137,Census Tract 449,Kings County,New York,3034,470,160,69
36,047,045000,"Census Tract 450, Kings County, New York",664,290,23,26,Census Tract 450,Kings County,New York,551,181,15,8
36,047,045200,"Census Tract 452, Kings County, New York",2580,486,24,28,Census Tract 452,Kings County,New York,2768,397,13,20
36,047,045300,"Census Tract 453, Kings County, New York",1895,370,151,113,Census Tract 453,Kings County,New York,2513,328,103,54
36,047,045400,"Census Tract 454, Kings County, New York",1750,321,168,161,Census Tract 454,Kings County,New York,1771,195,17,16
36,047,045600,"Census Tract 456, Kings County, New York",2295,258,78,71,Census Tract 456,Kings County,New York,2399,301,15,13
36,047,045800,"Census Tract 458, Kings County, New York",1322,213,0,12,Census Tract 458,Kings County,New York,1602,223,16,18
36,047,046000,"Census Tract 460, Kings County, New York",3222,357,152,92,Census Tract 460,Kings County,New York,3969,600,116,70
36,047,046201,"Census Tract 462.01, Kings County, New York",2313,367,185,172,Census Tract 462.01,Kings County,New York,2498,329,75,56
36,047,046202,"Census Tract 462.02, Kings County, New York",1799,363,87,57,Census Tract 462.02,Kings County,New York,2283,316,114,57
36,047,046400,"Census Tract 464, Kings County, New York",2740,279,61,51,Census Tract 464,Kings County,New York,2929,372,159,216
36,047,046800,"Census Tract 468, Kings County, New York",1677,297,177,91,Census Tract 468,Kings County,New York,2368,426,216,107
36,047,047000,"Census Tract 470, Kings County, New York",3279,513,120,56,Census Tract 470,Kings County,New York,2719,371,136,84
36,047,047200,"Census Tract 472, Kings County, New York",3158,464,211,181,Census Tract 472,Kings County,New York,2777,330,31,31
36,047,047400,"Census Tract 474, Kings County, New York",3024,425,42,42,Census Tract 474,Kings County,New York,2717,388,43,32
36,047,047600,"Census Tract 476, Kings County, New York",3887,517,79,86,Census Tract 476,Kings County,New York,3563,744,109,119
36,047,047700,"Census Tract 477, Kings County, New York",3080,257,543,152,Census Tract 477,Kings County,New York,3816,365,696,145
36,047,047800,"Census Tract 478, Kings County, New York",4715,821,99,58,Census Tract 478,Kings County,New York,4455,631,68,56
36,047,048000,"Census Tract 480, Kings County, New York",3753,438,94,76,Census Tract 480,Kings County,New York,4028,470,51,64
36,047,048100,"Census Tract 481, Kings County, New York",2743,373,206,91,Census Tract 481,Kings County,New York,3050,303,389,131
36,047,048200,"Census Tract 482, Kings County, New York",5799,529,50,39,Census Tract 482,Kings County,New York,5300,535,96,49
36,047,048400,"Census Tract 484, Kings County, New York",5207,609,156,112,Census Tract 484,Kings County,New York,6107,622,110,79
36,047,048500,"Census Tract 485, Kings County, New York",2664,427,91,66,Census Tract 485,Kings County,New York,2802,250,122,49
36,047,048600,"Census Tract 486, Kings County, New York",3687,399,84,67,Census Tract 486,Kings County,New York,3355,309,48,41
36,047,048800,"Census Tract 488, Kings County, New York",3745,435,116,74,Census Tract 488,Kings County,New York,3929,375,222,86
36,047,048900,"Census Tract 489, Kings County, New York",4209,582,73,119,Census Tract 489,Kings County,New York,3595,365,0,11
36,047,049000,"Census Tract 490, Kings County, New York",6043,538,103,86,Census Tract 490,Kings County,New York,6290,782,291,238
36,047,049100,"Census Tract 491, Kings County, New York",5857,508,45,40,Census Tract 491,Kings County,New York,6670,667,85,65
36,047,049200,"Census Tract 492, Kings County, New York",3450,686,93,68,Census Tract 492,Kings County,New York,3108,411,144,78
36,047,049300,"Census Tract 493, Kings County, New York",7442,642,292,149,Census Tract 493,Kings County,New York,7797,618,285,285
36,047,049400,"Census Tract 494, Kings County, New York",5611,415,230,237,Census Tract 494,Kings County,New York,5930,438,314,132
36,047,049500,"Census Tract 495, Kings County, New York",2462,367,449,173,Census Tract 495,Kings County,New York,2920,310,507,183
36,047,049600,"Census Tract 496, Kings County, New York",4034,562,259,143,Census Tract 496,Kings County,New York,4452,391,240,119
36,047,049700,"Census Tract 497, Kings County, New York",2663,291,918,225,Census Tract 497,Kings County,New York,2786,269,511,143
36,047,049800,"Census Tract 498, Kings County, New York",4422,503,231,97,Census Tract 498,Kings County,New York,4624,373,350,128
36,047,049900,"Census Tract 499, Kings County, New York",1699,242,240,83,Census Tract 499,Kings County,New York,1860,172,155,56
36,047,050000,"Census Tract 500, Kings County, New York",3607,340,344,195,Census Tract 500,Kings County,New York,3964,322,497,140
36,047,050100,"Census Tract 501, Kings County, New York",2801,276,905,250,Census Tract 501,Kings County,New York,3157,306,945,233
36,047,050202,"Census Tract 502.02, Kings County, New York",2317,198,339,132,Census Tract 502.02,Kings County,New York,2246,191,311,90
36,047,050300,"Census Tract 503, Kings County, New York",2671,307,663,201,Census Tract 503,Kings County,New York,2486,247,500,141
36,047,050400,"Census Tract 504, Kings County, New York",5143,463,348,168,Census Tract 504,Kings County,New York,4626,379,275,90
36,047,050500,"Census Tract 505, Kings County, New York",4052,359,125,101,Census Tract 505,Kings County,New York,4062,333,283,201
36,047,050600,"Census Tract 506, Kings County, New York",5442,496,94,66,Census Tract 506,Kings County,New York,5986,678,53,50
36,047,050700,"Census Tract 507, Kings County, New York",2273,274,20,27,Census Tract 507,Kings County,New York,2667,319,0,11
36,047,050801,"Census Tract 508.01, Kings County, New York",3789,335,0,12,Census Tract 508.01,Kings County,New York,4112,412,32,37
