state,county,tract,NAME.x,TotalPop_12,TR_Italian_12,Census_Tract.x,County.x,State.x,pro_2012,pro_2017,prop_ital_sig
36,5,20502,"Census Tract 205.02, Bronx County, New York",1725,56,Census Tract 205.02,Bronx County,New York,0.032463768,0.002949853,stat sig
36,5,20601,"Census Tract 206.01, Bronx County, New York",2911,48,Census Tract 206.01,Bronx County,New York,0.016489179,0.013494318,not stat sig
36,5,20900,"Census Tract 209, Bronx County, New York",3850,44,Census Tract 209,Bronx County,New York,0.011428571,0.004598662,not stat sig
36,5,21001,"Census Tract 210.01, Bronx County, New York",8816,105,Census Tract 210.01,Bronx County,New York,0.011910163,0.011670697,not stat sig
36,5,21002,"Census Tract 210.02, Bronx County, New York",6922,175,Census Tract 210.02,Bronx County,New York,0.02528171,0.011803916,not stat sig
36,5,21100,"Census Tract 211, Bronx County, New York",5708,12,Census Tract 211,Bronx County,New York,0.002102313,0.00155129,not stat sig
36,5,21200,"Census Tract 212, Bronx County, New York",5751,13,Census Tract 212,Bronx County,New York,0.002260476,0.013264129,not stat sig
36,5,21301,"Census Tract 213.01, Bronx County, New York",1302,0,Census Tract 213.01,Bronx County,New York,0,0.067241379,stat sig
36,5,21302,"Census Tract 213.02, Bronx County, New York",5390,13,Census Tract 213.02,Bronx County,New York,0.002411874,0,not stat sig
36,5,21501,"Census Tract 215.01, Bronx County, New York",3849,0,Census Tract 215.01,Bronx County,New York,0,0,not stat sig
36,5,21502,"Census Tract 215.02, Bronx County, New York",5717,16,Census Tract 215.02,Bronx County,New York,0.002798671,0,not stat sig
36,5,21601,"Census Tract 216.01, Bronx County, New York",4067,71,Census Tract 216.01,Bronx County,New York,0.017457585,0.006323397,not stat sig
36,5,21602,"Census Tract 216.02, Bronx County, New York",6000,49,Census Tract 216.02,Bronx County,New York,0.008166667,0.011928075,not stat sig
36,5,21700,"Census Tract 217, Bronx County, New York",4895,46,Census Tract 217,Bronx County,New York,0.009397344,0.003677823,not stat sig
36,5,21800,"Census Tract 218, Bronx County, New York",6207,46,Census Tract 218,Bronx County,New York,0.007410988,0.002365115,not stat sig
36,5,21900,"Census Tract 219, Bronx County, New York",1323,0,Census Tract 219,Bronx County,New York,0,0,not stat sig
36,5,22000,"Census Tract 220, Bronx County, New York",1416,18,Census Tract 220,Bronx County,New York,0.012711864,0.005809129,not stat sig
36,5,22101,"Census Tract 221.01, Bronx County, New York",4126,8,Census Tract 221.01,Bronx County,New York,0.001938924,0,not stat sig
36,5,22102,"Census Tract 221.02, Bronx County, New York",5336,21,Census Tract 221.02,Bronx County,New York,0.003935532,0,not stat sig
