state,county,tract,NAME.x,TotalPop_12,TotalPopMOE_12,TR_Italian_12,TR_ItalianMOE_12,Census_Tract.x,County.x,State.x,TotalPop_17,TotalPopMOE_17,TR_Italian_17,TR_ItalianMOE_17,Pop_SE_12,Italian_SE_12,Pop_SE_17,Italian_SE_17,italian_pop_crit_value,diff_tr_italian_ancestry_statistically_sig,pro_2012,pro_2017,prop_se_2012,prop_se_2017,prop_ital_crit,prop_ital_sig
36,61,3900,"Census Tract 39, New York County, New York",4965,592,738,290,Census Tract 39,New York County,New York,5621,616,621,227,359.87841945288756,176.29179331306992,374.468085106383,137.9939209726444,0.522607314855153,not stat sig,0.1486404833836858,0.11047856253335706,0.03383287069194393,0.023420467861498147,-0.9274243087462186,not stat sig
36,61,4000,"Census Tract 40, New York County, New York",9307,669,608,201,Census Tract 40,New York County,New York,8667,633,881,272,406.6869300911854,122.18844984802432,384.8024316109422,165.34954407294833,1.3278346917170607,not stat sig,0.0653271730955195,0.10164993654090228,0.012814563491624487,0.018536563429440763,1.6118520279777628,not stat sig
36,61,4100,"Census Tract 41, New York County, New York",7577,843,482,178,Census Tract 41,New York County,New York,8543,689,535,205,512.4620060790273,108.20668693009118,418.8449848024316,124.62006079027356,0.32113046803974493,not stat sig,0.06361356737495051,0.06262437082991923,0.01361742754712805,0.014260607500081766,-0.05016720163279472,not stat sig
36,61,4200,"Census Tract 42, New York County, New York",4872,1350,377,181,Census Tract 42,New York County,New York,5197,416,174,84,820.6686930091186,110.03039513677811,252.88753799392097,51.06382978723404,1.6735075369801016,stat sig,0.07738095238095238,0.03348085433904176,0.018443136424279166,0.009689626765908342,-2.1071795326842384,stat sig
36,61,4300,"Census Tract 43, New York County, New York",4565,544,510,199,Census Tract 43,New York County,New York,4225,399,448,199,330.69908814589667,120.9726443768997,242.5531914893617,120.9726443768997,0.36240110860912556,not stat sig,0.11171960569550932,0.10603550295857989,0.025233933239240097,0.027977994208420322,-0.15086594949726076,not stat sig
36,61,4400,"Census Tract 44, New York County, New York",16959,1025,1345,366,Census Tract 44,New York County,New York,17069,1060,1355,553,623.1003039513678,222.49240121580547,644.3768996960487,336.17021276595744,0.02480593328798382,not stat sig,0.07930892151659885,0.07938367801277169,0.012791732140931463,0.01946544009190631,0.0032094923931304,not stat sig
36,61,4500,"Census Tract 45, New York County, New York",836,191,78,50,Census Tract 45,New York County,New York,1005,145,81,54,116.10942249240121,30.3951367781155,88.14589665653496,32.82674772036474,0.06705757270888271,not stat sig,0.09330143540669857,0.08059701492537313,0.033970168166174396,0.031889333995311984,-0.2726683657013288,not stat sig
36,61,4700,"Census Tract 47, New York County, New York",2234,360,394,206,Census Tract 47,New York County,New York,2318,249,298,104,218.8449848024316,125.22796352583586,151.3677811550152,63.22188449848024,0.6843356638622392,not stat sig,0.17636526410026857,0.1285591026747196,0.05332659483735579,0.025950184256461034,-0.8061004856306024,not stat sig
36,61,4800,"Census Tract 48, New York County, New York",6973,562,657,179,Census Tract 48,New York County,New York,6926,538,1211,397,341.6413373860182,108.8145896656535,327.0516717325228,241.33738601823708,2.092662748475202,stat sig,0.09422056503656963,0.17484839734334393,0.014906699826505599,0.03385282246633049,2.179749038245708,stat sig
36,61,4900,"Census Tract 49, New York County, New York",4745,513,565,203,Census Tract 49,New York County,New York,4406,419,779,217,311.85410334346506,123.40425531914893,254.7112462006079,131.91489361702128,1.1846886898666211,not stat sig,0.11907270811380401,0.17680435769405356,0.024801868170083483,0.028141127795667964,1.5390697985987023,not stat sig
36,61,5000,"Census Tract 50, New York County, New York",5280,454,431,164,Census Tract 50,New York County,New York,5009,481,347,137,275.9878419452888,99.69604863221885,292.4012158054711,83.28267477203647,0.6466264381966134,not stat sig,0.08162878787878788,0.06927530445198643,0.01839342457168648,0.01612732060551447,-0.5049990329605394,not stat sig
36,61,5200,"Census Tract 52, New York County, New York",4000,519,453,185,Census Tract 52,New York County,New York,3642,369,133,60,315.5015197568389,112.46200607902736,224.3161094224924,36.474164133738604,2.7066145507817763,stat sig,0.11325,0.03651839648544756,0.026658758896424783,0.009759029953016331,-2.7028760318950154,stat sig
36,61,5400,"Census Tract 54, New York County, New York",4576,566,491,149,Census Tract 54,New York County,New York,4570,379,622,192,344.0729483282675,90.5775075987842,230.3951367781155,116.71732522796353,0.8866905782625728,not stat sig,0.10729895104895106,0.1361050328227571,0.018075203897382573,0.024600883329875048,0.9436168746592205,not stat sig
36,61,5501,"Census Tract 55.01, New York County, New York",4731,700,357,183,Census Tract 55.01,New York County,New York,4709,555,338,158,425.531914893617,111.24620060790274,337.38601823708206,96.04863221884499,0.12927546258973452,not stat sig,0.07545973367152822,0.07177744744107029,0.022513460028484318,0.019737870844705765,-0.12298639428441105,not stat sig
36,61,5502,"Census Tract 55.02, New York County, New York",2071,269,110,65,Census Tract 55.02,New York County,New York,2245,345,232,97,163.5258358662614,39.51367781155015,209.72644376899694,58.96656534954407,1.7187554494025925,stat sig,0.05311443746982134,0.10334075723830735,0.018612873837411507,0.02442720572826366,1.6354834892111885,not stat sig
36,61,5600,"Census Tract 56, New York County, New York",2950,410,410,210,Census Tract 56,New York County,New York,3220,551,234,127,249.2401215805471,127.65957446808511,334.95440729483283,77.20364741641338,1.1797113121394174,not stat sig,0.13898305084745763,0.07267080745341616,0.04165083350982938,0.022753399855295044,-1.397205993767143,not stat sig
36,61,5700,"Census Tract 57, New York County, New York",2785,254,185,97,Census Tract 57,New York County,New York,2766,260,247,109,154.40729483282675,58.96656534954407,158.0547112462006,66.26139817629179,0.6989880661217002,not stat sig,0.06642728904847396,0.08929862617498192,0.02085014584172908,0.023405914541884013,0.7296436685994959,not stat sig
36,61,5800,"Census Tract 58, New York County, New York",3078,385,227,142,Census Tract 58,New York County,New York,3355,372,370,151,234.04255319148936,86.32218844984803,226.13981762917933,91.79331306990882,1.134865860767897,not stat sig,0.0737491877842755,0.11028315946348734,0.027478538117359872,0.02633098844659101,0.9599618578424574,not stat sig
36,61,5900,"Census Tract 59, New York County, New York",5455,501,575,204,Census Tract 59,New York County,New York,5634,521,605,184,304.55927051671733,124.01215805471125,316.7173252279635,111.85410334346504,0.17963635224565155,not stat sig,0.10540788267644363,0.10738374156904508,0.021958730373750155,0.01891341064013186,0.0681775475179141,not stat sig
36,61,6000,"Census Tract 60, New York County, New York",4905,397,562,195,Census Tract 60,New York County,New York,5457,435,720,262,241.33738601823708,118.54103343465046,264.43768996960483,159.27051671732522,0.7957998947947202,not stat sig,0.1145769622833843,0.1319406267179769,0.02350067500181348,0.028477550936928817,0.4702764288515048,not stat sig
36,61,6100,"Census Tract 61, New York County, New York",5175,496,518,218,Census Tract 61,New York County,New York,4824,396,209,114,301.5197568389058,132.52279635258358,240.72948328267478,69.30091185410335,2.0662122024568594,stat sig,0.10009661835748793,0.043325041459369815,0.024935318615403625,0.014202239083522333,-1.9783634883258892,stat sig
36,61,6200,"Census Tract 62, New York County, New York",4246,597,246,116,Census Tract 62,New York County,New York,4692,622,353,164,362.9179331306991,70.51671732522796,378.11550151975683,99.69604863221885,0.8762280413890298,not stat sig,0.05793688177107866,0.07523444160272805,0.015852330286620774,0.020364729217824614,0.6702574837084819,not stat sig
36,61,6300,"Census Tract 63, New York County, New York",6486,582,865,299,Census Tract 63,New York County,New York,6728,602,489,200,353.79939209726444,181.7629179331307,365.9574468085106,121.580547112462,1.71943170663331,stat sig,0.13336416897934011,0.07268133174791915,0.027063182409483095,0.01763308754893824,-1.878679135950701,stat sig
36,61,6400,"Census Tract 64, New York County, New York",7439,621,731,288,Census Tract 64,New York County,New York,7961,684,568,221,377.5075987841945,175.07598784194528,415.80547112462006,134.34650455927053,0.7386190699390803,not stat sig,0.09826589595375723,0.07134782062554955,0.023000509037630946,0.01645898877436986,-0.9517442408387257,not stat sig
36,61,6500,"Census Tract 65, New York County, New York",6820,912,1152,236,Census Tract 65,New York County,New York,6490,614,780,245,554.4072948328268,143.46504559270517,373.25227963525833,148.93617021276594,1.7988823190645595,stat sig,0.1689149560117302,0.12018489984591679,0.015936150495855325,0.021882867846056395,-1.8001057484824328,stat sig
36,61,6600,"Census Tract 66, New York County, New York",12177,986,1504,493,Census Tract 66,New York County,New York,10946,1546,967,455,599.3920972644377,299.69604863221883,939.8176291793313,276.59574468085106,1.3167345322406057,not stat sig,0.12351153814568448,0.08834277361593276,0.023848923989165695,0.024103838946947453,-1.0371757117217162,not stat sig
36,61,6700,"Census Tract 67, New York County, New York",5298,396,887,253,Census Tract 67,New York County,New York,5277,479,915,277,240.72948328267478,153.79939209726444,291.1854103343465,168.3890577507599,0.1227773473625925,not stat sig,0.1674216685541714,0.17339397384877772,0.028015233999613826,0.03044180165721428,0.14435983075177192,not stat sig
36,61,6800,"Census Tract 68, New York County, New York",6383,817,643,214,Census Tract 68,New York County,New York,7684,654,662,299,496.6565349544073,130.09118541033433,397.5683890577508,181.7629179331307,0.08500333711261444,not stat sig,0.10073633087889707,0.08615304528891203,0.0188133665509127,0.023230936946816903,-0.4878419432988586,not stat sig
36,61,6900,"Census Tract 69, New York County, New York",2705,407,270,98,Census Tract 69,New York County,New York,2568,260,303,103,247.41641337386017,59.57446808510638,158.0547112462006,62.61398176291793,0.3818250824115683,not stat sig,0.09981515711645102,0.11799065420560748,0.02004238819789081,0.02327581272549212,0.5917310670842704,not stat sig
36,61,7000,"Census Tract 70, New York County, New York",8434,762,961,312,Census Tract 70,New York County,New York,8574,771,1066,510,463.2218844984802,189.66565349544072,468.69300911854106,310.0303951367781,0.28890243056635706,not stat sig,0.11394356177377282,0.12432936785630977,0.021599901772673496,0.035514907652651924,0.24985346593081162,not stat sig
36,61,7100,"Census Tract 71, New York County, New York",5512,567,542,184,Census Tract 71,New York County,New York,6000,534,495,234,344.6808510638298,111.85410334346504,324.62006079027356,142.24924012158056,0.2597272342034474,not stat sig,0.09833091436865021,0.0825,0.019338822459043573,0.023284243630033407,-0.52302643742278,not stat sig
36,61,7200,"Census Tract 72, New York County, New York",8289,822,849,237,Census Tract 72,New York County,New York,7224,987,644,312,499.69604863221883,144.07294832826747,600,189.66565349544072,0.8606908458103757,not stat sig,0.10242490047050308,0.08914728682170543,0.01624749525926851,0.025189255096511643,-0.4429614161676827,not stat sig
36,61,7300,"Census Tract 73, New York County, New York",5732,531,571,175,Census Tract 73,New York County,New York,6019,607,794,414,322.7963525835866,106.38297872340425,368.99696048632217,251.67173252279636,0.816154739700102,not stat sig,0.09961618981158409,0.131915600598106,0.017691353091653737,0.04102335086762464,0.7229783428471958,not stat sig
36,61,7400,"Census Tract 74, New York County, New York",4358,509,296,143,Census Tract 74,New York County,New York,3803,391,240,106,309.4224924012158,86.93009118541033,237.68996960486322,64.43768996960486,0.517519923055175,not stat sig,0.06792106470858192,0.06310807257428346,0.019355525965957687,0.016478428963222814,-0.1893389977945335,not stat sig
36,61,7500,"Census Tract 75, New York County, New York",4395,306,604,257,Census Tract 75,New York County,New York,3990,331,639,202,186.01823708206686,156.23100303951367,201.2158054711246,122.79635258358662,0.17613294093700874,not stat sig,0.13742889647326506,0.16015037593984963,0.03506831712307791,0.029697405183396655,0.49444519167266593,not stat sig
36,61,7600,"Census Tract 76, New York County, New York",2110,282,106,71,Census Tract 76,New York County,New York,2055,254,119,65,171.42857142857142,43.161094224924014,154.40729483282675,39.51367781155015,0.2221585881052997,not stat sig,0.05023696682464455,0.057907542579075426,0.02004415861558121,0.018729313497107866,0.27961386489367335,not stat sig
36,61,7700,"Census Tract 77, New York County, New York",5565,480,811,222,Census Tract 77,New York County,New York,5991,627,882,300,291.79331306990883,134.95440729483283,381.1550151975684,182.370820668693,0.3129490487247539,not stat sig,0.14573225516621743,0.1472208312468703,0.023015232501813743,0.02896399805580439,0.04023745736866233,not stat sig
36,61,7800,"Census Tract 78, New York County, New York",7582,840,722,327,Census Tract 78,New York County,New York,8610,822,692,267,510.63829787234044,198.7841945288754,499.69604863221883,162.31003039513678,0.11689915561965115,not stat sig,0.09522553415985228,0.08037166085946573,0.025421410594039497,0.01826514078271097,-0.4745226295936464,not stat sig
